CMU,,,,,
Joint_index,PMA,PCA,Li,WPCA,LocalWPCA
1,5.74,56.07,4.47,3.73,0.99
2,8.95,64.56,4.61,3.06,0.83
3,24.74,169.74,7.07,3.16,3.16
4,21.74,209.52,8.69,4.59,4.59
5,14.83,146.75,8.89,10.82,8.69
6,13.05,202.49,24.16,16.57,16.58
7,10.87,232.58,15.53,10.48,10.47
8,7.03,199.08,9.03,7.44,7.47
9,16.78,67.64,6.82,2.77,2.77
10,23.65,79.17,7.08,3.51,3.44
11,21.92,120.73,10.8,5.16,5.08
12,12.16,100.75,12.29,5.68,5.68
13,24.51,36.12,2.81,1.98,0.55
14,23.08,196.74,24.07,21,20.06
15,10.74,236.27,19.46,8.44,8.44
16,25.35,193.86,13.64,8.83,8.82
17,24.59,81.08,10,3.21,3.21
18,20.54,91.33,8.67,4.14,4.14
19,5.87,101.18,8.12,3.59,3.59
20,7.42,89.67,9.29,3.98,3.98
21,11.15,154.67,7.04,3.73,3.32
22,11.01,192.89,9.92,3.2,3.21
23,4.87,121.83,5.38,2.07,2.07
24,13.02,28.71,2.9,0.45,0.45
25,4.19,82.56,5.46,1.76,1.76
26,10.78,112.53,12.22,3.18,3.18
27,11.99,65.7,22.04,5.92,5.92
28,9.21,86.83,9.71,4.45,4.45
29,32.21,99,7.76,6.24,6.24
30,17.79,129.07,16.48,3.38,3.38
31,9.07,134.18,10.59,3.24,3.24
32,8.79,126.26,5.49,2.4,2.4
33,9.45,123.83,16.53,4.44,4.44
34,15.14,242.06,21.99,11.58,11.65
35,23.51,38.75,2.93,4.1,4.14
36,13.41,182.89,15.01,14.85,14.7
37,12.26,64.44,5.92,4.07,3.99
38,31.77,32.75,3.61,2.73,2.64
39,21.62,88.2,4.46,3.91,3.88
40,18.74,72.85,6.05,3.86,4.44
41,24.04,65.38,8.91,7.6,7.69
