PMA,PCA,Li,WPCA,LocalWPCA
0.065,0.885,1.06,0.009,0.009
0.071,1.63,1.022,0.011,0.011
0.848,0.545,0.716,0.072,0.072
0.954,0.443,0.8,0.092,0.092
0.934,0.972,0.581,0.067,0.067
1.238,1.144,0.95,0.187,0.187
1.264,2.127,1.2,0.135,0.135
1.828,1.077,1.804,0.403,0.327
1.247,1.167,0.659,0.051,0.051
1.952,0.716,0.886,0.078,0.074
0.879,0.739,1.167,0.154,0.123
0.412,0.857,0.799,0.108,0.109
0.14,1.051,0.681,0.01,0.011
1.757,1.793,1.82,0.31,0.309
0.546,1.305,1.54,0.268,0.268
1.297,2.313,2.867,0.398,0.396
0.071,0.506,0.4,0.011,0.011
0.131,0.237,0.567,0.012,0.012
0.07,0.339,0.34,0.01,0.01
0.049,0.272,0.582,0.011,0.011
0.357,0.524,0.388,0.045,0.045
0.608,0.161,0.317,0.037,0.037
3.151,0.251,0.22,0.023,0.023
0.915,1.75,0.802,0.015,0.015
3.297,0.217,0.263,0.011,0.011
0.346,0.251,0.147,0.006,0.006
1.386,0.211,0.149,0.005,0.005
7.47,0.542,0.127,0.005,0.005
0.244,0.259,0.327,0.036,0.036
1.05,0.1,0.548,0.024,0.024
0.29,0.17,0.342,0.018,0.018
4.368,0.233,0.313,0.013,0.013
0.117,0.178,0.304,0.01,0.01
0.079,0.201,0.237,0.008,0.008
0.801,0.3,0.509,0.01,0.01
5.767,0.192,0.212,0.008,0.008
0.135,0.465,0.5,0.018,0.018
0.238,0.735,0.242,0.008,0.008
0.039,0.708,0.608,0.011,0.011
0.646,0.555,0.587,0.065,0.065
0.658,0.319,0.609,0.037,0.037
